contract_id,language,template_family,agreement_type,document_title,canonical_path,canonical_sha256,actual_pages,pdf_path,pdf_sha256,used_by_scenario_ids,scenario_roles
CTR-EN-0001,EN,T1,DIRECT_LICENSE,“Signal of Winter” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0001.md,95e3e2b3754a91d14dbc4b393f735214bb2a0529e359b26413ea5280ec93233a,3,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0001.pdf,69359c9d84144ec73bab5982ca014ccea8a74695e484ba246fd4bc34c4e5d42f,"['EN-N01', 'EN-C02', 'EN-R01']","['EXISTING', 'TARGET']"
CTR-EN-0002,EN,T1,DIRECT_LICENSE,“Blue Harbor” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0002.md,161968cda5594415a827529adffb41c17da4bf1154ac4fee7b49ad0c60f8468a,4,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0002.pdf,4d43f146616132c163351ed71444a9942204b06733580f18d57bb32f450c6084,"['EN-N02', 'EN-C01', 'KO-C03', 'KO-C09', 'RB-KO03']","['EXISTING', 'TARGET']"
CTR-EN-0003,EN,T1,DIRECT_LICENSE,“Silent City” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0003.md,3e8c5e34c491d9243d8d70ed9a2e14cea2a92a1be42ac0d044c52d5e001d39ca,4,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0003.pdf,705a9df85da704cf5cea76a09ee7ed561d0c10b1bf7abbc4c43073eefca9be2f,"['EN-N03', 'EN-C07', 'RB-EN04']","['EXISTING', 'TARGET']"
CTR-EN-0004,EN,T1,DIRECT_LICENSE,“Final Stage” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0004.md,ce80d6654ff9081c9543ebc9cfc65a330d4ddd9cab1093b37f7ea205d0b39629,4,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0004.pdf,b3c7c8b97f815cd6f0e813a05561712a46747ffef916714fd4ab0016cc04a941,"['EN-N04', 'EN-B01', 'EN-C03', 'RB-JP02']","['EXISTING', 'TARGET']"
CTR-EN-0005,EN,T1,DIRECT_LICENSE,“Blue Harbor” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0005.md,3ea2036d9fc55a635b87d15341ac7805fa7ce75d3d29ab57d91686d5a9bf98be,4,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0005.pdf,33e7eb07c260f5bb0e14b383c12828b0efc57f9c058da3147e940c3174d49853,"['EN-N05', 'JP-C04']","['EXISTING', 'TARGET']"
CTR-EN-0006,EN,T3,DIRECT_LICENSE,“Final Stage” Single-Mode Content Licence Agreement,documents/canonical/EN/T3/CTR-EN-0006.md,5d7920639c10e78973d0976c8142712a9b84fb105591cb953d0c413fae3b32c1,4,documents/pdf/EN/T3/DIRECT_LICENSE/CTR-EN-0006.pdf,1ce95688656f76fa1a4c2ff26f2e7b4b247efd7c13f7fb0fb2218659be76ac60,['EN-B01'],['TARGET']
CTR-EN-0007,EN,T3,DIRECT_LICENSE,“Silent City” Single-Mode Content Licence Agreement,documents/canonical/EN/T3/CTR-EN-0007.md,bf0cb50ee4b0be9d69d0c8f2983042338508e647d3c0d5d3a2781354f027a59c,4,documents/pdf/EN/T3/DIRECT_LICENSE/CTR-EN-0007.pdf,db04b7f1ced483986887ef95f29cc5f73960da8eb6617d82875fdfddbd765bdc,['EN-B02'],['TARGET']
CTR-EN-0008,EN,T1,DIRECT_LICENSE,“Final Stage” Audiovisual Content Licence Agreement,documents/canonical/EN/T1/CTR-EN-0008.md,8d641bf1510511d3ae222da533aa62c0a2b72fd83c36fa846bc38d2bbf828eec,4,documents/pdf/EN/T1/DIRECT_LICENSE/CTR-EN-0008.pdf,9be77e207afc7d9b203624c2b65331f10bec0dcab241782c98a85009596fcfca,['EN-B03'],['TARGET']
CTR-EN-0009,EN,T3,DIRECT_LICENSE,“Blue Harbor” Single-Mode Content Licence Agreement,documents/canonical/EN/T3/CTR-EN-0009.md,ea00b769c788166b8f11548afb3989a8cfcb83b0a53a7199a3c50c0a775df8e8,4,documents/pdf/EN/T3/DIRECT_LICENSE/CTR-EN-0009.pdf,4bd604af72e75faf605d7ec9dea65132f4f4a028d933676e5ccb5959125e3b31,['EN-C01'],['TARGET']
CTR-EN-0010,EN,T3,DIRECT_LICENSE,“Silent City” Single-Mode Content Licence Agreement,documents/canonical/EN/T3/CTR-EN-0010.md,ed714fa5da5060cce999747688c0884f17fdefaa56bdf1e2505ca4f65df8cad2,4,documents/pdf/EN/T3/DIRECT_LICENSE/CTR-EN-0010.pdf,9ff7b66cb517f9db9608707e49be2deb462f0099823d0e6421617ea94a28735e,['EN-C04'],['TARGET']
